"","index","Referendum","Strike and mass demonstrations","King’s speech","Puigdemont answer s the king","First organizations to move out","Demonstrations for dialogue","Demonstration against independence","First DOI","Referendum organizers imprisonment"
"71",2017-10-04 07:00:00,1,1,1,0,0,0,0,0,0
"72",2017-10-04 08:00:00,1,1,1,0,0,0,0,0,0
"73",2017-10-04 09:00:00,1,1,1,0,0,0,0,0,0
"74",2017-10-04 10:00:00,1,1,1,0,0,0,0,0,0
"75",2017-10-04 11:00:00,1,1,1,0,0,0,0,0,0
"76",2017-10-04 12:00:00,1,1,1,0,0,0,0,0,0
"77",2017-10-04 13:00:00,1,1,1,0,0,0,0,0,0
"78",2017-10-04 14:00:00,1,1,1,0,0,0,0,0,0
"79",2017-10-04 15:00:00,1,1,1,0,0,0,0,0,0
"80",2017-10-04 16:00:00,1,1,1,0,0,0,0,0,0
"81",2017-10-04 17:00:00,1,1,1,0,0,0,0,0,0
"82",2017-10-04 18:00:00,1,1,1,0,0,0,0,0,0
"83",2017-10-04 19:00:00,1,1,1,0,0,0,0,0,0
"84",2017-10-04 20:00:00,1,1,1,0,0,0,0,0,0
"85",2017-10-04 21:00:00,1,1,1,1,0,0,0,0,0
"86",2017-10-04 22:00:00,1,1,1,1,0,0,0,0,0
"87",2017-10-04 23:00:00,1,1,1,1,0,0,0,0,0
"88",2017-10-05 00:00:00,1,1,1,1,0,0,0,0,0
"89",2017-10-05 01:00:00,1,1,1,1,0,0,0,0,0
"90",2017-10-05 02:00:00,1,1,1,1,0,0,0,0,0
"91",2017-10-05 03:00:00,1,1,1,1,0,0,0,0,0
"92",2017-10-05 04:00:00,1,1,1,1,0,0,0,0,0
"93",2017-10-05 05:00:00,1,1,1,1,0,0,0,0,0
"94",2017-10-05 06:00:00,1,1,1,1,0,0,0,0,0
"95",2017-10-05 07:00:00,1,1,1,1,0,0,0,0,0
"96",2017-10-05 08:00:00,1,1,1,1,0,0,0,0,0
"97",2017-10-05 09:00:00,1,1,1,1,0,0,0,0,0
"98",2017-10-05 10:00:00,1,1,1,1,0,0,0,0,0
"99",2017-10-05 11:00:00,1,1,1,1,0,0,0,0,0
"100",2017-10-05 12:00:00,1,1,1,1,0,0,0,0,0
"101",2017-10-05 13:00:00,1,1,1,1,0,0,0,0,0
